x	"NC0"	"NC1"	"NC2"	"NC3"	"NC4"	"NC5"	"NC6"	"NC7"
443		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
446		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
449		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
452		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
455		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
458		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
461		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
464		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
467		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
470		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
473		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
476		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
479		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
482		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
485		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
488		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
491		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
494		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
497		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
500		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
503		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
506		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
509		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
512		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
515		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
518		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
521		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
524		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
527		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
530		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
533		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
536		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
539		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
542		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
545		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
548		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
551		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
554		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
557		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
560		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
563		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
566		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
569		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
572		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
575		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
578		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
581		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
584		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
587		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
590		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
593		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
596		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
599		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
602		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
605		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
608		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
611		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
614		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
617		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
620		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
623		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
626		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
629		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
632		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
635		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
638		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
641		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
644		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
647		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
650		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
653		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
