x	"NC0"	"NC1"	"NC2"	"NC3"	"NC4"	"NC5"	"NC6"	"NC7"
559		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
562		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
565		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
568		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
571		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
574		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
577		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
580		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
583		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
586		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
589		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
592		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
595		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
598		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
601		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
604		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
607		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
610		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
613		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
616		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
619		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
622		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
625		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
628		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
631		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
634		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
637		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
640		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
643		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
646		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
649		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
652		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
