x	"NC0"
171		2703.000000
172		2703.000000
173		2703.000000
174		2703.000000
175		2703.000000
176		2703.000000
177		2703.000000
178		2703.000000
179		2703.000000
180		2703.000000
181		2703.000000
182		2703.000000
183		2703.000000
184		2704.000000
185		2704.000000
186		2704.000000
187		2704.000000
188		2704.000000
189		2704.000000
190		2704.000000
191		2704.000000
192		2704.000000
193		2704.000000
194		2704.000000
195		2704.000000
196		2704.000000
197		2704.000000
198		2704.000000
199		2704.000000
200		2704.000000
201		2704.000000
202		2704.000000
203		2704.000000
204		2704.000000
205		2704.000000
206		2704.000000
207		2704.000000
208		2704.000000
209		2704.000000
210		2704.000000
211		2704.000000
212		2704.000000
213		2704.000000
214		2704.000000
215		2704.000000
216		2704.000000
217		2704.000000
218		2704.000000
219		2704.000000
220		2704.000000
221		2704.000000
222		2704.000000
223		2704.000000
224		2704.000000
225		2704.000000
226		2704.000000
227		2704.000000
228		2704.000000
229		2704.000000
230		2704.000000
231		2704.000000
232		2704.000000
233		2704.000000
234		2704.000000
235		2704.000000
236		2704.000000
237		2704.000000
238		2704.000000
239		2704.000000
240		2704.000000
241		2704.000000
242		2704.000000
243		2704.000000
244		2704.000000
245		2704.000000
246		2704.000000
247		2704.000000
248		2704.000000
249		2704.000000
250		2704.000000
251		2704.000000
252		2704.000000
253		2704.000000
254		2704.000000
255		2704.000000
256		2704.000000
257		2704.000000
258		2704.000000
259		2704.000000
260		2704.000000
261		2704.000000
262		2704.000000
263		2704.000000
264		2704.000000
265		2704.000000
266		2704.000000
267		2704.000000
268		2704.000000
269		2704.000000
270		2704.000000
271		2704.000000
272		2704.000000
273		2704.000000
274		2704.000000
275		2704.000000
276		2704.000000
277		2704.000000
278		2704.000000
279		2704.000000
280		2704.000000
281		2704.000000
282		2704.000000
283		2704.000000
284		2704.000000
285		2704.000000
286		2704.000000
287		2704.000000
288		2704.000000
289		2704.000000
290		2704.000000
291		2704.000000
292		2704.000000
293		2704.000000
294		2704.000000
295		2704.000000
296		2704.000000
297		2704.000000
298		2704.000000
299		2704.000000
300		2704.000000
301		2704.000000
302		2704.000000
303		2704.000000
304		2704.000000
305		2704.000000
306		2704.000000
307		2704.000000
308		2704.000000
309		2704.000000
310		2704.000000
311		2704.000000
312		2704.000000
313		2704.000000
314		2704.000000
315		2704.000000
316		2704.000000
317		2704.000000
318		2704.000000
