x	"NC0"
784		17.500000
785		17.400000
786		17.200000
787		17.100000
788		16.900000
789		16.800000
790		16.700000
791		16.500000
792		16.400000
793		16.200000
794		16.100000
795		15.900000
796		15.800000
797		15.700000
798		15.500000
799		15.400000
800		15.300000
801		15.100000
802		14.900000
803		14.800000
804		14.600000
805		14.500000
806		14.300000
807		14.200000
808		14.100000
809		13.900000
810		13.800000
811		13.600000
812		13.500000
813		13.300000
814		13.200000
815		13.100000
816		12.900000
817		12.800000
818		12.700000
819		12.500000
820		12.300000
821		12.300000
822		12.100000
823		11.900000
824		11.900000
825		11.800000
826		11.500000
827		11.400000
828		11.200000
829		11.100000
830		11.000000
831		10.800000
832		10.700000
833		10.500000
834		10.400000
835		10.200000
836		10.100000
837		10.000000
838		9.800000
839		9.700000
840		9.500000
841		9.400000
842		9.300000
843		9.100000
844		9.000000
845		8.800000
846		8.700000
847		8.500000
848		8.400000
849		8.200000
850		8.100000
851		8.000000
852		7.800000
853		7.600000
854		7.500000
855		7.300000
856		7.200000
857		7.100000
858		6.900000
859		8.000000
860		7.900000
861		7.900000
862		8.000000
863		7.900000
864		7.900000
865		7.900000
866		7.900000
867		8.000000
868		7.900000
869		7.900000
870		7.900000
871		7.900000
872		7.900000
873		8.000000
874		8.000000
875		7.800000
876		9.100000
877		9.100000
878		9.100000
879		9.100000
880		9.100000
881		9.100000
882		9.100000
883		9.100000
884		9.100000
885		9.100000
886		9.100000
887		9.100000
888		9.100000
889		9.100000
890		9.100000
891		9.100000
892		10.700000
893		10.700000
894		10.700000
895		10.700000
896		10.700000
897		10.700000
898		10.700000
899		10.700000
900		10.500000
901		10.500000
902		10.500000
903		10.500000
904		10.500000
905		10.500000
906		10.500000
907		10.600000
908		10.600000
909		10.600000
910		10.600000
911		10.600000
912		10.600000
913		10.600000
914		10.600000
915		10.600000
916		10.600000
917		10.600000
918		10.600000
919		10.700000
920		10.700000
921		10.700000
922		10.700000
923		10.700000
924		10.700000
925		10.700000
926		10.700000
927		10.700000
928		10.700000
929		10.700000
930		10.700000
931		10.700000
932		10.700000
933		10.700000
934		10.700000
935		10.700000
936		10.700000
937		10.700000
938		10.700000
939		10.700000
940		10.700000
941		10.700000
942		10.700000
943		10.700000
944		10.700000
945		10.700000
946		10.700000
947		10.700000
948		10.700000
949		10.700000
950		10.700000
951		10.700000
952		10.700000
953		10.700000
954		10.700000
955		10.500000
956		10.500000
957		10.500000
958		10.500000
959		10.500000
960		10.500000
961		10.500000
962		10.500000
963		10.500000
964		10.500000
965		10.500000
966		10.500000
967		10.500000
968		10.500000
969		10.500000
970		10.500000
971		10.500000
972		10.600000
973		10.600000
974		10.600000
975		10.600000
976		10.600000
977		10.600000
978		10.600000
979		10.600000
980		10.600000
981		10.600000
982		10.600000
983		10.600000
984		10.600000
985		10.700000
986		10.700000
987		10.700000
988		10.700000
989		10.700000
990		10.700000
991		10.700000
992		10.700000
993		10.700000
994		10.700000
995		10.700000
996		10.700000
997		10.700000
998		10.700000
999		10.700000
1000		10.700000
1001		10.700000
1002		10.700000
1003		10.700000
1004		10.700000
1005		10.700000
1006		10.700000
1007		10.700000
1008		10.700000
1009		10.700000
1010		10.700000
1011		10.700000
1012		10.700000
1013		10.700000
1014		10.700000
1015		10.700000
1016		10.700000
1017		10.700000
1018		10.700000
1019		10.700000
1020		10.700000
1021		10.700000
1022		10.700000
1023		10.700000
1024		10.700000
1025		10.700000
1026		10.700000
1027		10.700000
1028		10.700000
1029		10.700000
1030		10.700000
1031		10.700000
1032		10.700000
1033		10.700000
1034		10.700000
1035		10.700000
1036		10.700000
1037		10.600000
1038		10.700000
1039		10.600000
1040		10.700000
1041		10.600000
1042		10.400000
1043		10.600000
1044		10.500000
1045		10.600000
1046		10.600000
1047		10.500000
1048		10.000000
1049		10.400000
1050		10.400000
1051		10.400000
1052		10.400000
1053		17.800000
1054		23.900000
1055		24.100000
1056		24.100000
1057		24.000000
1058		23.900000
1059		23.900000
1060		23.900000
1061		24.200000
1062		24.100000
1063		24.000000
1064		23.900000
1065		23.900000
1066		24.100000
1067		24.100000
1068		24.100000
1069		24.000000
1070		23.900000
1071		23.800000
1072		23.800000
1073		23.500000
1074		23.600000
1075		23.100000
1076		22.700000
1077		22.400000
1078		22.200000
1079		22.100000
1080		23.900000
1081		23.600000
1082		24.200000
1083		24.200000
1084		24.100000
1085		24.000000
1086		23.900000
1087		23.900000
1088		24.000000
1089		23.900000
1090		24.000000
1091		24.000000
1092		26.900000
1093		34.400000
1094		162.900000
1095		210.100000
1096		210.100000
1097	
