x	"CC"	"NC0"	"NC1"
56		6407.000000	2285.000000	2286.000000
57		6407.000000	2285.000000	2286.000000
58		6407.000000	2285.000000	2286.000000
59		6408.000000	2285.000000	2286.000000
60		6408.000000	2285.000000	2286.000000
61		6408.000000	2285.000000	2286.000000
62		6399.000000	2285.000000	2286.000000
63		6395.000000	2285.000000	2286.000000
64		6366.000000	2285.000000	2286.000000
65		6303.000000	2285.000000	2286.000000
66		6289.000000	2285.000000	2286.000000
67		6285.000000	2285.000000	2286.000000
68		6265.000000	2280.000000	2277.000000
69		6265.000000	2268.000000	2265.000000
70		6231.000000	2264.000000	2264.000000
71		6182.000000	2263.000000	2258.000000
72		6181.000000	2258.000000	2256.000000
73		6181.000000	2255.000000	2254.000000
74		6181.000000	2249.000000	2245.000000
75		6181.000000	2242.000000	2236.000000
76		6181.000000	2236.000000	2228.000000
77		6181.000000	2229.000000	2228.000000
78		6178.000000	2225.000000	2228.000000
79		6164.000000	2202.000000	2228.000000
80		6164.000000	2183.000000	2222.000000
81		6162.000000	2182.000000	2169.000000
82		6162.000000	2030.000000	1851.000000
83		6162.000000	1798.000000	1716.000000
84		6162.000000	1795.000000	1696.000000
85		6162.000000	1767.000000	1522.000000
86		6162.000000	1715.000000	1522.000000
87		6162.000000	1609.000000	1501.000000
88		6162.000000	1583.000000	1455.000000
89		6162.000000	1539.000000	1437.000000
90		6162.000000	1539.000000	1438.000000
91		6162.000000	1539.000000	1410.000000
92		6162.000000	1539.000000	1410.000000
93		6137.000000	1539.000000	1410.000000
94		6121.000000	1539.000000	1410.000000
95		6120.000000	1539.000000	1410.000000
96		6278.000000	1539.000000	1410.000000
97		6282.000000	1538.000000	1410.000000
98		6286.000000	1539.000000	1407.000000
99		6286.000000	1539.000000	1409.000000
100		6284.000000	1539.000000	1409.000000
101		6279.000000	1539.000000	1409.000000
102		6283.000000	1528.000000	1409.000000
103		6283.000000	1539.000000	1402.000000
104		6283.000000	1539.000000	1406.000000
105		6282.000000	1539.000000	1410.000000
106		6279.000000	1539.000000	1410.000000
107		6279.000000	1539.000000	1410.000000
108		6432.000000	1538.000000	1410.000000
